2026-07-29 23:01:27,229 | INFO | Opening Login Page
2026-07-29 23:01:27,643 | INFO | Starting Login Process
2026-07-29 23:01:27,643 | INFO | Entering Username: abhijitdhumale2909@gmail.com
2026-07-29 23:01:29,466 | INFO | Entering Password
2026-07-29 23:01:29,640 | INFO | Clicking Login Button
2026-07-29 23:01:31,987 | INFO | Login Request Submitted
2026-07-29 23:05:39,573 | INFO | Opening Login Page
2026-07-29 23:05:40,015 | INFO | Starting Login Process
2026-07-29 23:05:40,015 | INFO | Entering Username
2026-07-29 23:05:41,868 | INFO | Entering Password
2026-07-29 23:05:42,047 | INFO | Clicking Login Button
2026-07-29 23:05:44,642 | INFO | Login Request Submitted
2026-07-29 23:09:16,556 | INFO | Opening Login Page
2026-07-29 23:09:16,947 | INFO | Starting Login Process
2026-07-29 23:09:16,947 | INFO | Entering Username
2026-07-29 23:09:19,293 | INFO | Entering Password
2026-07-29 23:09:19,513 | INFO | Clicking Login Button
2026-07-29 23:09:21,903 | INFO | Login Request Submitted
2026-07-29 23:10:24,931 | INFO | Opening Login Page
2026-07-29 23:10:25,238 | INFO | Starting Login Process
2026-07-29 23:10:25,238 | INFO | Entering Username
2026-07-29 23:10:27,101 | INFO | Entering Password
2026-07-29 23:10:27,296 | INFO | Clicking Login Button
2026-07-29 23:10:30,159 | INFO | Login Request Submitted
2026-07-29 23:14:29,735 | INFO | Opening Login Page
2026-07-29 23:14:30,094 | INFO | Starting Login Process
2026-07-29 23:14:30,094 | INFO | Entering Username
2026-07-29 23:14:31,933 | INFO | Entering Password
2026-07-29 23:14:32,100 | INFO | Clicking Login Button
2026-07-29 23:14:34,514 | INFO | Login Request Submitted
2026-07-29 23:19:15,559 | INFO | Opening Login Page
2026-07-29 23:19:15,899 | INFO | Starting Login Process
2026-07-29 23:19:15,900 | INFO | Entering Username
2026-07-29 23:19:17,772 | INFO | Entering Password
2026-07-29 23:19:17,938 | INFO | Clicking Login Button
2026-07-29 23:19:20,418 | INFO | Login Request Submitted
2026-07-29 23:19:24,775 | INFO | Opening Login Page
2026-07-29 23:19:25,560 | INFO | Starting Login Process
2026-07-29 23:19:25,560 | INFO | Entering Username
2026-07-29 23:19:27,422 | INFO | Entering Password
2026-07-29 23:19:27,602 | INFO | Clicking Login Button
2026-07-29 23:19:30,233 | INFO | Login Request Submitted
2026-07-29 23:19:34,651 | INFO | Opening Login Page
2026-07-29 23:19:35,037 | INFO | Starting Login Process
2026-07-29 23:19:35,037 | INFO | Entering Username
2026-07-29 23:19:36,899 | INFO | Entering Password
2026-07-29 23:19:37,058 | INFO | Clicking Login Button
2026-07-29 23:19:39,868 | INFO | Login Request Submitted
2026-07-29 23:19:39,968 | INFO | Opening Smart Bin Page
2026-07-29 23:19:40,122 | INFO | Checking Smart Bin page loaded
2026-07-29 23:19:44,485 | INFO | Opening Login Page
2026-07-29 23:19:44,886 | INFO | Starting Login Process
2026-07-29 23:19:44,886 | INFO | Entering Username
2026-07-29 23:19:46,745 | INFO | Entering Password
2026-07-29 23:19:46,923 | INFO | Clicking Login Button
2026-07-29 23:19:49,869 | INFO | Login Request Submitted
2026-07-29 23:19:50,060 | INFO | Opening Smart Bin Page
2026-07-29 23:19:50,221 | INFO | Fetching all Smart Bin cards
2026-07-29 23:19:54,530 | INFO | Opening Login Page
2026-07-29 23:19:55,056 | INFO | Starting Login Process
2026-07-29 23:19:55,057 | INFO | Entering Username
2026-07-29 23:19:56,869 | INFO | Entering Password
2026-07-29 23:19:57,037 | INFO | Clicking Login Button
2026-07-29 23:20:01,375 | INFO | Login Request Submitted
2026-07-29 23:20:01,427 | INFO | Opening Smart Bin Page
2026-07-29 23:20:01,583 | INFO | Fetching bin locations
2026-07-29 23:20:05,951 | INFO | Opening Login Page
2026-07-29 23:20:06,352 | INFO | Starting Login Process
2026-07-29 23:20:06,353 | INFO | Entering Username
2026-07-29 23:20:08,222 | INFO | Entering Password
2026-07-29 23:20:08,397 | INFO | Clicking Login Button
2026-07-29 23:20:12,429 | INFO | Login Request Submitted
2026-07-29 23:20:12,576 | INFO | Opening Smart Bin Page
2026-07-29 23:20:12,720 | INFO | Fetching fill levels
2026-07-29 23:20:17,059 | INFO | Opening Login Page
2026-07-29 23:20:17,483 | INFO | Starting Login Process
2026-07-29 23:20:17,484 | INFO | Entering Username
2026-07-29 23:20:19,308 | INFO | Entering Password
2026-07-29 23:20:19,494 | INFO | Clicking Login Button
2026-07-29 23:20:22,280 | INFO | Login Request Submitted
2026-07-29 23:20:22,462 | INFO | Opening Smart Bin Page
2026-07-29 23:20:22,620 | INFO | Clicking Available Filter
2026-07-29 23:20:27,709 | INFO | Opening Login Page
2026-07-29 23:20:28,128 | INFO | Starting Login Process
2026-07-29 23:20:28,128 | INFO | Entering Username
2026-07-29 23:20:29,982 | INFO | Entering Password
2026-07-29 23:20:30,156 | INFO | Clicking Login Button
2026-07-29 23:20:32,519 | INFO | Login Request Submitted
2026-07-29 23:20:32,637 | INFO | Opening Smart Bin Page
2026-07-29 23:20:32,782 | INFO | Clicking Full Filter
2026-07-29 23:20:37,241 | INFO | Opening Login Page
2026-07-29 23:20:37,645 | INFO | Starting Login Process
2026-07-29 23:20:37,645 | INFO | Entering Username
2026-07-29 23:20:39,504 | INFO | Entering Password
2026-07-29 23:20:39,709 | INFO | Clicking Login Button
2026-07-29 23:20:42,831 | INFO | Login Request Submitted
2026-07-29 23:20:42,888 | INFO | Opening Smart Bin Page
2026-07-29 23:20:43,034 | INFO | Clicking Full Filter
2026-07-29 23:20:43,711 | INFO | Clicking All Filter
2026-07-29 23:20:43,854 | INFO | Fetching all Smart Bin cards
2026-07-29 23:31:38,511 | INFO | Opening Login Page
2026-07-29 23:31:38,857 | INFO | Starting Login Process
2026-07-29 23:31:38,857 | INFO | Entering Username
2026-07-29 23:31:40,696 | INFO | Entering Password
2026-07-29 23:31:40,871 | INFO | Clicking Login Button
2026-07-29 23:31:44,177 | INFO | Login Request Submitted
2026-07-29 23:31:48,577 | INFO | Opening Login Page
2026-07-29 23:31:48,928 | INFO | Starting Login Process
2026-07-29 23:31:48,928 | INFO | Entering Username
2026-07-29 23:31:50,764 | INFO | Entering Password
2026-07-29 23:31:50,929 | INFO | Clicking Login Button
2026-07-29 23:31:53,199 | INFO | Login Request Submitted
2026-07-29 23:31:57,684 | INFO | Opening Login Page
2026-07-29 23:31:58,079 | INFO | Starting Login Process
2026-07-29 23:31:58,079 | INFO | Entering Username
2026-07-29 23:31:59,894 | INFO | Entering Password
2026-07-29 23:32:00,061 | INFO | Clicking Login Button
2026-07-29 23:32:02,250 | INFO | Login Request Submitted
2026-07-29 23:32:02,476 | INFO | Opening Smart Bin Page
2026-07-29 23:32:02,647 | INFO | Checking Smart Bin page loaded
2026-07-29 23:32:06,953 | INFO | Opening Login Page
2026-07-29 23:32:07,333 | INFO | Starting Login Process
2026-07-29 23:32:07,334 | INFO | Entering Username
2026-07-29 23:32:09,157 | INFO | Entering Password
2026-07-29 23:32:09,312 | INFO | Clicking Login Button
2026-07-29 23:32:11,688 | INFO | Login Request Submitted
2026-07-29 23:32:11,806 | INFO | Opening Smart Bin Page
2026-07-29 23:32:11,952 | INFO | Fetching all Smart Bin cards
2026-07-29 23:32:16,274 | INFO | Opening Login Page
2026-07-29 23:32:16,852 | INFO | Starting Login Process
2026-07-29 23:32:16,852 | INFO | Entering Username
2026-07-29 23:32:18,677 | INFO | Entering Password
2026-07-29 23:32:18,837 | INFO | Clicking Login Button
2026-07-29 23:32:21,547 | INFO | Login Request Submitted
2026-07-29 23:32:21,602 | INFO | Opening Smart Bin Page
2026-07-29 23:32:26,198 | INFO | Opening Login Page
2026-07-29 23:32:26,464 | INFO | Starting Login Process
2026-07-29 23:32:26,464 | INFO | Entering Username
2026-07-29 23:32:28,806 | INFO | Entering Password
2026-07-29 23:32:28,970 | INFO | Clicking Login Button
2026-07-29 23:32:31,219 | INFO | Login Request Submitted
2026-07-29 23:32:31,423 | INFO | Opening Smart Bin Page
2026-07-29 23:32:31,585 | INFO | Fetching fill levels
2026-07-29 23:32:35,941 | INFO | Opening Login Page
2026-07-29 23:32:37,078 | INFO | Starting Login Process
2026-07-29 23:32:37,079 | INFO | Entering Username
2026-07-29 23:32:38,364 | INFO | Entering Password
2026-07-29 23:32:38,518 | INFO | Clicking Login Button
2026-07-29 23:32:40,874 | INFO | Login Request Submitted
2026-07-29 23:32:41,012 | INFO | Opening Smart Bin Page
